Dataset,GAPFCN 0,GAPFCN 1,GAPFCN 2,GAPFCN 3,GAPFCN 4,InstanceFCN 0,InstanceFCN 1,InstanceFCN 2,InstanceFCN 3,InstanceFCN 4,AttentionFCN 0,AttentionFCN 1,AttentionFCN 2,AttentionFCN 3,AttentionFCN 4,AdditiveFCN 0,AdditiveFCN 1,AdditiveFCN 2,AdditiveFCN 3,AdditiveFCN 4,ConjunctiveFCN 0,ConjunctiveFCN 1,ConjunctiveFCN 2,ConjunctiveFCN 3,ConjunctiveFCN 4,GAPFCNEnsemble 0,InstanceFCNEnsemble 0,AttentionFCNEnsemble 0,AdditiveFCNEnsemble 0,ConjunctiveFCNEnsemble 0
WebTraffic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
